 Tenure in Months  Churn Value  Total Customer Svc Requests  Product/Service Issues Reported  Customer Satisfaction  Contract_Month-to-Month  Contract_One Year  Contract_Two Year  Churn Category_0  Churn Category_Attitude  Churn Category_Competitor  Churn Category_Dissatisfaction  Churn Category_Other  Churn Category_Price  Churn Reason_0  Churn Reason_Attitude of service provider  Churn Reason_Attitude of support person  Churn Reason_Competitor had better devices  Churn Reason_Competitor made better offer  Churn Reason_Competitor offered higher download speeds  Churn Reason_Competitor offered more data  Churn Reason_Deceased  Churn Reason_Don't know  Churn Reason_Extra data charges  Churn Reason_Lack of affordable download/upload speed  Churn Reason_Lack of self-service on Website  Churn Reason_Limited range of services  Churn Reason_Long distance charges  Churn Reason_Moved  Churn Reason_Network reliability  Churn Reason_Poor expertise of online support  Churn Reason_Poor expertise of phone support  Churn Reason_Price too high  Churn Reason_Product dissatisfaction  Churn Reason_Service dissatisfaction
               24            1                            0                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                4            1                            4                                0                    3.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               32            1                            4                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               24            1                            1                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               54            1                            3                                0                    0.0                    False               True              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                2            1                            4                                0                    3.0                     True              False              False             False                    False                      False                           False                  True                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                     True                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               21            1                            2                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               27            1                            2                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               11            1                            2                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               55            1                            4                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                3            1                            1                                3                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            7                                1                    2.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                              True                                          False                                         False                        False                                 False                                 False
                5            1                            4                                0                    2.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                    True                               False               False                             False                                          False                                         False                        False                                 False                                 False
               20            1                            4                                1                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                5            1                            4                                2                    1.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                  True                                 False
               27            1                            1                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                4            1                            2                                2                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            5                                1                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               65            1                            5                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               49            1                            5                                0                    2.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               43            1                            1                                1                    2.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               56            1                            0                                0                    0.0                    False               True              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                      False                                                    True                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               20            1                            2                                3                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
